,Date,Home Team,Away Team,Venue,elo_margin,elo_home_chance,elo_away_chance,dvoa_home,dvoa_away,dvhaa_home,dvhaa_away,dvoa_margin,dvhaa_margin,average_projections,home_win%,away_win%
0,2023-08-06,Parramatta Eels,St George Dragons,CommBank Stadium,10.981598349650085,0.7797659958163937,0.22023400418360628,31.225,20.43,31.160166666666665,15.309555555555557,10.795000000000002,15.850611111111109,12.542403153587065,0.8520347889875963,0.14796521101240367
1,2023-08-06,Canberra Raiders,Wests Tigers,GIO Stadium,13.471629120157422,0.8250550299580197,0.17494497004198029,24.825000000000003,18.38,25.782234047314155,18.03111111111111,6.445000000000004,7.751122936203046,9.222584018786824,0.77891935580535,0.22108064419465
2,2023-08-10,Manly Sea Eagles,Penrith Panthers,4 Pines Park,-12.453068198282987,0.19252089897021288,0.8074791010297871,10.39,25.94,13.498499999999996,24.061,-15.55,-10.562500000000004,-12.855189399427664,0.14202497015759985,0.8579750298424001
3,2023-08-11,Cronulla Sharks,Gold Coast Titans,PointsBet Stadium,9.317286743333836,0.7451085754319946,0.2548914245680054,29.169999999999998,22.215000000000003,29.6845,17.938999999999997,6.954999999999995,11.745500000000003,9.339262247777945,0.7817956176620847,0.21820438233791528
4,2023-08-11,Brisbane Broncos,Parramatta Eels,The Gabba,7.795300665576269,0.7104287243062225,0.2895712756937775,25.485,20.11,25.8005,22.2255,5.375,3.5749999999999993,5.581766888525422,0.6790869911004682,0.3209130088995318
5,2023-08-12,South Sydney Rabbitohs,St George Dragons,"Barlow Park, Cairns",9.761671744293304,0.7547028924323553,0.24529710756764467,30.560000000000002,18.765,24.656666666666666,21.125555555555557,11.795000000000002,3.531111111111109,8.362594285134804,0.7570619465357862,0.24293805346421382
6,2023-08-12,Wests Tigers,New Zealand Warriors,"FMG Stadium Waikato, Hamilton",-13.19421751675421,0.17960286466796596,0.8203971353320341,11.315,27.825000000000003,15.612652734107375,30.6525,-16.510000000000005,-15.039847265892625,-14.91468826088228,0.10695405873666342,0.8930459412633366
7,2023-08-12,Sydney Roosters,Redcliffe Dolphins,Allianz Stadium,5.849879293041007,0.6622846892056126,0.33771531079438744,21.799999999999997,21.7,24.40601064258274,22.0735,0.09999999999999787,2.33251064258274,2.7607966452079147,0.5909799082313711,0.40902009176862886
8,2023-08-13,Melbourne Storm,Canberra Raiders,AAMI Park,6.874116289026127,0.6881344091871511,0.3118655908128489,26.650000000000002,18.185000000000002,26.622500000000002,17.995,8.465,8.627500000000001,7.9888720963420425,0.7472111386897049,0.2527888613102951
9,2023-08-13,Newcastle Knights,Canterbury Bulldogs,McDonald Jones Stadium,12.581972422764693,0.8097756558709643,0.19022434412903566,32.16,16.610000000000003,32.105000000000004,17.958333333333332,15.549999999999994,14.146666666666672,14.09287969647712,0.8798839068171234,0.12011609318287664
10,2023-08-17,North QLD Cowboys,Cronulla Sharks,Queensland Country Bank Stadium,2.5292727419681644,0.572288243870169,0.42771175612983103,22.735000000000003,24.785000000000004,30.981866121915797,19.88481818181818,-2.0500000000000007,11.097047940097617,3.8587735606885936,0.6261086654572909,0.37389133454270906
11,2023-08-18,New Zealand Warriors,Manly Sea Eagles,Mt Smart Stadium,9.325066658307394,0.7452786502305182,0.2547213497694818,23.945,16.43,20.344,13.3215,7.515000000000001,7.022500000000001,7.9541888861024646,0.7462863898097893,0.25371361019021066
12,2023-08-18,Parramatta Eels,Sydney Roosters,CommBank Stadium,4.984694143989297,0.6396589319891192,0.36034106801088084,24.945,17.955,24.0535,13.9995,6.990000000000002,10.054,7.342898047996434,0.7297007422862697,0.2702992577137303
13,2023-08-19,Wests Tigers,Redcliffe Dolphins,CommBank Stadium,-4.731314322520363,0.36709197272973404,0.632908027270266,19.54,25.825000000000003,24.343663376690113,24.3425,-6.285000000000004,0.0011633766901120168,-3.6717169819434177,0.3798113015529726,0.6201886984470274
14,2023-08-19,Gold Coast Titans,Penrith Panthers,Cbus Super Stadium,-14.86677669245975,0.15295618441318135,0.8470438155868186,12.07,29.3,15.041999999999998,30.772499999999997,-17.23,-15.7305,-15.942425564153249,0.092000637987386,0.907999362012614
15,2023-08-19,St George Dragons,Melbourne Storm,WIN Stadium,-8.261455999282967,0.2786565670263254,0.7213434329736745,17.52,29.85,21.006999999999998,25.043,-12.330000000000002,-4.036000000000001,-8.20915199976099,0.2469572737789958,0.7530427262210042
16,2023-08-20,Newcastle Knights,South Sydney Rabbitohs,McDonald Jones Stadium,2.958503616812186,0.5843387684352849,0.41566123156471513,22.92,23.175,21.384040404040405,30.228080808080808,-0.254999999999999,-8.844040404040403,-2.0468455957427385,0.43228076101284063,0.5677192389871594
17,2023-08-20,Canberra Raiders,Canterbury Bulldogs,GIO Stadium,11.249136771916044,0.7850099647046895,0.21499003529531047,28.67,20.794999999999998,24.12388888888889,25.189999999999998,7.8750000000000036,-1.066111111111109,6.019341886934979,0.6920296997375205,0.3079703002624795
18,2023-08-24,Penrith Panthers,Parramatta Eels,BlueBet Stadium,13.256331297179138,0.8214484077932448,0.1785515922067552,26.089999999999996,14.920000000000002,29.78,15.142,11.169999999999995,14.638000000000002,13.02144376572638,0.8610658143179755,0.13893418568202454
19,2023-08-25,New Zealand Warriors,St George Dragons,Mt Smart Stadium,13.609928106853628,0.8273413551288562,0.1726586448711438,29.980000000000004,16.049999999999997,26.061666666666664,12.367555555555557,13.930000000000007,13.694111111111107,13.744679739321581,0.8739761760572984,0.12602382394270162
